x_Pt,T_K,a_mean_Angstrom,a_std_Angstrom,result_last_point,drift,n_points
0.00,300,3.621271,0.009417,3.627732,1.487875e-02,502
0.00,600,3.629612,0.017006,3.645593,3.013101e-02,502
0.00,900,3.637757,0.024841,3.652330,4.635418e-02,502
0.00,1200,3.646252,0.033518,3.665305,6.243437e-02,502
0.25,300,3.796890,0.002400,3.798841,1.381673e-03,502
0.25,600,3.809427,0.005134,3.808976,3.177184e-03,502
0.25,900,3.819334,0.007082,3.816922,3.846898e-03,502
0.25,1200,3.828614,0.009944,3.827654,5.299470e-03,502
0.50,300,3.868558,0.002962,3.868280,2.430223e-03,502
0.50,600,3.874797,0.007133,3.879242,7.819156e-03,502
0.50,900,3.880770,0.011108,3.885308,1.284159e-02,502
0.50,1200,3.886734,0.014891,3.892744,1.762710e-02,502
0.75,300,3.904274,0.003480,3.908177,3.379599e-03,502
0.75,600,3.910082,0.007844,3.913164,9.310369e-03,502
0.75,900,3.915804,0.011764,3.923320,1.441049e-02,502
0.75,1200,3.921076,0.015343,3.939715,1.932568e-02,502
1.00,300,3.924677,0.006149,3.929541,9.432521e-03,502
1.00,600,3.930400,0.011645,3.941899,1.900419e-02,502
1.00,900,3.935666,0.016592,3.947303,2.850988e-02,502
1.00,1200,3.939945,0.020378,3.961214,3.651381e-02,502
