x_Pt,T_K,a_mean_Angstrom,a_std_Angstrom,result_last_point,drift,n_points,mean_press_bar,std_press_bar,runtime_s
0.00,300,3.627262,0.004303,3.621046,-2.046870e-04,1002,7.7,5849.0,0
0.00,600,3.642824,0.002338,3.647451,2.245046e-05,1002,-92.2,2344.0,0
0.00,900,3.658739,0.006016,3.652970,8.081716e-05,1002,69.8,6701.1,0
0.00,1200,3.675255,0.009601,3.663971,-7.243492e-04,1002,137.4,10812.3,0
0.25,300,3.797614,0.003095,3.793211,3.512642e-05,1002,-39.6,5666.3,0
0.25,600,3.810840,0.004484,3.808498,-3.765656e-05,1002,-39.7,7873.1,0
0.25,900,3.821455,0.004783,3.817512,3.673812e-04,1002,-163.8,8134.5,0
0.25,1200,3.831466,0.006607,3.834588,-6.404962e-05,1002,-1.0,10958.0,0
0.50,300,3.869891,0.002728,3.871564,1.070030e-04,1002,5.5,5969.0,0
0.50,600,3.878679,0.003811,3.888767,-9.285325e-05,1002,61.0,8009.1,0
0.50,900,3.887385,0.004725,3.897799,7.985200e-05,1002,53.6,9568.9,0
0.50,1200,3.895685,0.005739,3.885777,-4.625202e-06,1002,76.4,11280.5,0
0.75,300,3.905863,0.002728,3.909998,-1.133000e-04,1002,26.0,6159.9,0
0.75,600,3.914721,0.004032,3.912290,-5.348619e-05,1002,-121.7,8883.0,0
0.75,900,3.922977,0.004964,3.922707,1.836458e-04,1002,157.0,10522.6,0
0.75,1200,3.930848,0.006015,3.933275,4.152747e-05,1002,15.6,12676.7,0
1.00,300,3.929227,0.003497,3.928674,-3.655199e-04,1002,-84.1,7736.8,0
1.00,600,3.939210,0.003700,3.937553,-4.036647e-04,1002,170.2,7705.6,0
1.00,900,3.947812,0.004716,3.949902,-8.842004e-05,1002,-34.4,9207.1,0
1.00,1200,3.956025,0.005408,3.946208,-4.415811e-04,1002,-55.1,10126.9,0
