x_Pt,T_K,a_mean_Angstrom,a_std_Angstrom,result_last_point,drift,n_points,mean_press_bar,std_press_bar,runtime_s,mode,eq_steps,prod_steps
0.00,300,3.627368,0.003149,3.628902,-2.100475e-04,1002,-6.6,4157.1,0,turbo_plus,20000,50000
0.00,600,3.643271,0.004832,3.646432,-6.141505e-04,1002,-54.9,5909.3,0,turbo_plus,20000,50000
0.00,900,3.659298,0.006590,3.673546,-1.112635e-03,1002,-4.0,7542.7,0,turbo_plus,20000,50000
0.00,1200,3.662356,0.012398,3.678925,2.176083e-02,502,-134.9,2151.2,361.52782249450684,turbo_plus,20000,50000
0.25,300,3.804378,0.001692,3.805699,2.628282e-03,502,-48.0,2250.6,283.51343965530396,turbo_plus,20000,50000
0.25,600,3.811630,0.004194,3.818963,7.039906e-03,502,-27.9,2879.3,283.05644822120667,turbo_plus,20000,50000
0.25,900,3.820393,0.008193,3.833285,1.368309e-02,502,2.7,3515.3,281.6323275566101,turbo_plus,20000,50000
0.25,1200,3.829902,0.010215,3.845632,1.746753e-02,502,-160.1,4057.1,279.71896481513977,turbo_plus,20000,50000
0.50,300,3.869345,0.001526,3.870611,2.623322e-03,502,-20.3,1660.0,251.29515624046326,turbo_plus,20000,50000
0.50,600,3.875383,0.003615,3.880696,6.329574e-03,502,-100.4,2172.6,252.63635301589966,turbo_plus,20000,50000
0.50,900,3.881370,0.005412,3.891137,9.490424e-03,502,78.0,2642.8,253.08857202529907,turbo_plus,20000,50000
0.50,1200,3.887233,0.007199,3.898233,1.261120e-02,502,-24.4,3039.9,252.64515495300293,turbo_plus,20000,50000
0.75,300,3.905010,0.001977,3.908098,3.438593e-03,502,56.5,953.7,207.04743218421936,turbo_plus,20000,50000
0.75,600,3.910794,0.003773,3.918165,6.604936e-03,502,38.1,1320.4,215.4391646385193,turbo_plus,20000,50000
0.75,900,3.916460,0.005391,3.925950,9.447494e-03,502,30.6,1792.2,221.40573692321777,turbo_plus,20000,50000
0.75,1200,3.921890,0.006953,3.933584,1.216803e-02,502,-34.0,1876.4,222.71271634101868,turbo_plus,20000,50000
1.00,300,3.924177,0.002390,3.928670,4.145087e-03,502,1.0,488.0,150.24109292030334,turbo_plus,20000,50000
1.00,600,3.930585,0.004483,3.939453,7.773241e-03,502,-1.7,876.0,169.81566095352173,turbo_plus,20000,50000
1.00,900,3.936402,0.006000,3.948929,1.044230e-02,502,26.9,1142.0,178.82842469215393,turbo_plus,20000,50000
1.00,1200,3.941903,0.007611,3.955740,1.315829e-02,502,-78.3,1488.0,184.23764419555664,turbo_plus,20000,50000
